N,P,K,ph,temperature,humidity,rainfall,label,location,latitude,longitude
90,42,43,6.502985292000001,20.87974371,82.00274423,202.9355362,rice,China,35.8617,104.1954
85,58,41,7.038096361,21.77046169,80.31964408,226.6555374,rice,Indonesia,-0.7893,113.9213
60,55,44,7.840207144,23.00445915,82.3207629,263.9642476,rice,Indonesia,-0.7893,113.9213
74,35,40,6.980400905,26.49109635,80.15836264,242.8640342,rice,Indonesia,-0.7893,113.9213
78,42,42,7.628472891,20.13017482,81.60487287,262.7173405,rice,China,35.8617,104.1954
69,37,42,7.073453503,23.05804872,83.37011772,251.0549998,rice,Indonesia,-0.7893,113.9213
69,55,38,5.70080568,22.70883798,82.63941394,271.3248604,rice,China,35.8617,104.1954
94,53,40,5.718627177999999,20.27774362,82.89408619,241.9741949,rice,India,20.5937,78.9629
89,54,38,6.685346424,24.51588066,83.53521629999999,230.4462359,rice,Indonesia,-0.7893,113.9213
68,58,38,6.336253525,23.22397386,83.03322691,221.2091958,rice,China,35.8617,104.1954
91,53,40,5.386167788,26.52723513,81.41753846,264.6148697,rice,India,20.5937,78.9629
90,46,42,7.50283396,23.97898217,81.45061596,250.0832336,rice,Indonesia,-0.7893,113.9213
78,58,44,5.108681786,26.80079604,80.88684822,284.4364567,rice,India,20.5937,78.9629
93,56,36,6.98435366,24.01497622,82.05687182,185.2773389,rice,China,35.8617,104.1954
94,50,37,6.94801983,25.66585205,80.66385045,209.5869708,rice,India,20.5937,78.9629
60,48,39,7.042299068999999,24.28209415,80.30025587,231.0863347,rice,China,35.8617,104.1954
85,38,41,6.2490506560000005,21.58711777,82.7883708,276.65524589999995,rice,China,35.8617,104.1954
91,35,39,6.970859754,23.79391957,80.41817957,206.2611855,rice,Indonesia,-0.7893,113.9213
77,38,36,5.953933276,21.8652524,80.1923008,224.55501690000003,rice,Indonesia,-0.7893,113.9213
88,35,40,5.85393208,23.57943626,83.58760316,291.2986618000001,rice,Indonesia,-0.7893,113.9213
89,45,36,6.442475375,21.32504158,80.47476396,185.4974732,rice,India,20.5937,78.9629
76,40,43,5.070175667,25.15745531,83.11713476,231.3843163,rice,Indonesia,-0.7893,113.9213
67,59,41,6.012632591,21.94766735,80.97384195,213.3560921,rice,China,35.8617,104.1954
83,41,43,6.254028451,21.0525355,82.67839517,233.1075816,rice,India,20.5937,78.9629
98,47,37,7.375482851,23.48381344,81.33265073,224.0581164,rice,India,20.5937,78.9629
66,53,41,7.778915154,25.0756354,80.52389148,257.0038865,rice,India,20.5937,78.9629
97,59,43,6.2865001760000006,26.35927159,84.04403589,271.35861370000003,rice,Indonesia,-0.7893,113.9213
97,50,41,7.070959995,24.52922681,80.54498576,260.2634026,rice,India,20.5937,78.9629
60,49,44,6.244841491,20.77576147,84.49774397,240.0810647,rice,China,35.8617,104.1954
84,51,35,6.043304899,22.30157427,80.64416466,197.9791215,rice,Indonesia,-0.7893,113.9213
73,57,41,5.824709117,21.44653958,84.94375962,272.2017204,rice,India,20.5937,78.9629
92,35,40,6.3573893660000005,22.17931888,80.33127223,200.0882787,rice,Indonesia,-0.7893,113.9213
85,37,39,6.364134967999999,24.52783742,82.73685569,224.67572310000003,rice,China,35.8617,104.1954
98,53,38,5.01450727,20.26707606,81.63895217,270.4417274,rice,China,35.8617,104.1954
88,54,44,6.149410611,25.7354293,83.88266234,233.1321372,rice,Indonesia,-0.7893,113.9213
95,55,42,5.950660556,26.79533926,82.1480873,193.3473987,rice,China,35.8617,104.1954
99,57,35,5.960370061,26.75754171,81.17734011,272.29990560000005,rice,Indonesia,-0.7893,113.9213
95,39,36,5.561398642,23.86330467,83.15250801,285.2493645,rice,Indonesia,-0.7893,113.9213
60,43,44,7.416245107000001,21.01944696,82.95221726,298.40184710000005,rice,Indonesia,-0.7893,113.9213
63,44,41,5.583370042,24.17298839,83.7287574,257.0343554,rice,Indonesia,-0.7893,113.9213
62,42,36,6.430010215,22.78133816,82.06719137,248.7183228,rice,India,20.5937,78.9629
64,45,43,5.534878156,25.62980105,83.52842314,209.9001977,rice,India,20.5937,78.9629
83,60,36,6.903985986,25.59704938,80.14509262,200.834898,rice,Indonesia,-0.7893,113.9213
82,40,40,6.271478837999999,23.83067496,84.81360127,298.5601175,rice,India,20.5937,78.9629
85,52,45,7.224285503,26.31355498,82.36698992,265.5355937,rice,China,35.8617,104.1954
91,35,38,6.13428721,24.8972823,80.52586088,183.6793207,rice,India,20.5937,78.9629
76,49,42,5.206373153,24.958779,84.47963372,196.95600080000003,rice,India,20.5937,78.9629
74,39,38,7.782051312999999,23.24113501,84.59201843,233.0453455,rice,India,20.5937,78.9629
79,43,39,7.062779015,21.66628296,80.70960551,210.8142087,rice,China,35.8617,104.1954
88,55,45,7.730367824,24.63544858,80.41363018,253.7202781,rice,Indonesia,-0.7893,113.9213
60,36,43,5.286203711000001,23.43121862,83.06310136,219.9048349,rice,Indonesia,-0.7893,113.9213
76,60,39,6.766240045,20.0454142,80.3477562,208.5810155,rice,Indonesia,-0.7893,113.9213
93,56,42,7.382762603,23.85724032,82.22572988,195.0948311,rice,Indonesia,-0.7893,113.9213
65,60,43,5.658169482000001,21.97199397,81.89918197,227.3637009,rice,Indonesia,-0.7893,113.9213
95,52,36,5.543360237999999,26.22916897,83.83625819,286.5083725,rice,Indonesia,-0.7893,113.9213
75,38,39,6.215109715,23.44676801,84.79352417,283.9338466,rice,Indonesia,-0.7893,113.9213
74,54,38,7.120272972,25.65553461,83.47021081,217.3788583,rice,Indonesia,-0.7893,113.9213
91,36,45,5.950647577000001,24.44345477,82.45432595,267.97619480000003,rice,Indonesia,-0.7893,113.9213
71,46,40,7.236705436,20.2801937,82.1235421,191.9535738,rice,China,35.8617,104.1954
99,55,35,6.501697816,21.7238313,80.2389895,277.9626192,rice,India,20.5937,78.9629
72,40,38,7.592490617,20.41447029,82.20802629,245.1511304,rice,Indonesia,-0.7893,113.9213
83,58,45,5.875345751,25.75528612,83.51827127,245.6626799,rice,Indonesia,-0.7893,113.9213
93,58,38,6.932400225,20.61521424,83.77345559,279.5451717,rice,India,20.5937,78.9629
